60	64.8
47	62.8
78	94
43	48
40	59
35	51.2
86	90.4
55	61.6
33	48.4
42	55.4
74	92.2
71	83.2
87	95.4
61	74.4
90	98.6
70	81
36	43.4
22	100.8
85	93.6
36	52.2
56	65
52	56.8
64	74.4
35	109.8
61	65.4
65	84.6
54	72.2
51	58.6
63	80.4
55	60
31	38.6
91	102.2
69	85.4
88	105
25	40.6
77	91.8
88	106.6
83	97.6
83	102.2
59	63.6
68	83.8
62	74
58	107.6
54	69.8
84	93.6
24	37.6
41	53
32	47.4
53	64.6
59	73
32	49.8
41	52
32	40.4
83	95.8
59	72.4
63	81
54	72.6
32	52
26	31.8
67	72.4
68	82.6
40	48.2
83	100.8
36	40
62	106
59	63.6
68	78.6
82	88
30	39.8
74	83
67	106.2
30	43
54	68.2
37	41.2
48	52
20	30.6
90	107
75	103.4
27	38.6
52	65
22	27.8
65	106.8
61	76.2
41	53.4
44	57.6
82	87
23	33.2
30	106
28	37.2
75	91.4
45	104.6
47	64.8
58	108.4
34	54
40	59.4
31	49
32	46.2
25	45
75	81
70	81
